,time,total,new,approved,partially_paid,paid
0,2023-02-13T23:00:00.000Z,2,2,,,
1,2023-02-14T23:00:00.000Z,167,167,,,
2,2023-02-15T23:00:00.000Z,198,198,,,
3,2023-02-16T23:00:00.000Z,239,239,,,
4,2023-02-17T23:00:00.000Z,1157,1157,,,
5,2023-02-18T23:00:00.000Z,1416,1416,,,
6,2023-02-19T23:00:00.000Z,1481,1481,,,
7,2023-02-20T23:00:00.000Z,1534,1534,,,
8,2023-02-21T23:00:00.000Z,1570,1570,,,
9,2023-02-22T23:00:00.000Z,1607,1607,,,
10,2023-02-23T23:00:00.000Z,1626,1626,,,
11,2023-02-24T23:00:00.000Z,1643,1643,,,
12,2023-02-25T23:00:00.000Z,1662,1662,,,
13,2023-02-26T23:00:00.000Z,1679,1679,,,
14,2023-02-27T23:00:00.000Z,1768,1768,,,
15,2023-02-28T23:00:00.000Z,1806,1806,,,
16,2023-03-01T23:00:00.000Z,1858,1858,,,
17,2023-03-02T23:00:00.000Z,1900,1900,,,
18,2023-03-03T23:00:00.000Z,1917,1917,,,
19,2023-03-04T23:00:00.000Z,1950,1950,,,
20,2023-03-05T23:00:00.000Z,1976,1976,,,
21,2023-03-06T23:00:00.000Z,2001,2001,,,
22,2023-03-07T23:00:00.000Z,2021,2021,,,
23,2023-03-08T23:00:00.000Z,2035,2035,,,
24,2023-03-09T23:00:00.000Z,2046,2046,,,
25,2023-03-10T23:00:00.000Z,2065,2065,,,
26,2023-03-11T23:00:00.000Z,2078,2078,,,
27,2023-03-12T23:00:00.000Z,2091,2091,,,
28,2023-03-13T23:00:00.000Z,2108,2108,,,
29,2023-03-14T23:00:00.000Z,2130,2130,,,
30,2023-03-15T23:00:00.000Z,2145,2145,,,
31,2023-03-16T23:00:00.000Z,2178,2178,,,
32,2023-03-17T23:00:00.000Z,2187,2186,1.0,,
33,2023-03-18T23:00:00.000Z,2200,2199,1.0,,
34,2023-03-19T23:00:00.000Z,2214,2213,1.0,,
35,2023-03-20T23:00:00.000Z,2222,2221,1.0,,
36,2023-03-21T23:00:00.000Z,2228,2227,1.0,,
37,2023-03-22T23:00:00.000Z,2236,2235,1.0,,1.0
38,2023-03-23T23:00:00.000Z,2240,2239,,,
39,2023-03-24T23:00:00.000Z,2262,2261,,,
40,2023-03-25T23:00:00.000Z,2282,2281,,,
41,2023-03-26T22:00:00.000Z,2294,2293,,,
42,2023-03-27T22:00:00.000Z,2309,2308,,,
43,2023-03-28T22:00:00.000Z,2316,2315,,,
44,2023-03-29T22:00:00.000Z,2329,2328,,,
45,2023-03-30T22:00:00.000Z,2338,2337,,,
46,2023-03-31T22:00:00.000Z,2347,2346,,,
47,2023-04-01T22:00:00.000Z,2364,2362,1.0,,
48,2023-04-02T22:00:00.000Z,2376,2336,38.0,,2.0
49,2023-04-03T22:00:00.000Z,2385,2345,38.0,,2.0
50,2023-04-04T22:00:00.000Z,2386,2346,38.0,,2.0
51,2023-04-05T22:00:00.000Z,2392,2352,24.0,,16.0
52,2023-04-06T22:00:00.000Z,2397,2357,23.0,,17.0
53,2023-04-07T22:00:00.000Z,2399,2359,20.0,,20.0
54,2023-04-08T22:00:00.000Z,2405,2365,19.0,,21.0
55,2023-04-09T22:00:00.000Z,2412,2372,19.0,,21.0
56,2023-04-10T22:00:00.000Z,2421,2172,198.0,,51.0
57,2023-04-11T22:00:00.000Z,2433,1934,382.0,,116.0
58,2023-04-12T22:00:00.000Z,2442,1444,777.0,,220.0
59,2023-04-13T22:00:00.000Z,2458,3,1957.0,,499.0
60,2023-04-14T22:00:00.000Z,2476,7,1844.0,,624.0
61,2023-04-15T22:00:00.000Z,2487,2,1747.0,,739.0
62,2023-04-16T22:00:00.000Z,2501,3,1553.0,,942.0
63,2023-04-17T22:00:00.000Z,2513,4,1431.0,,1076.0
64,2023-04-18T22:00:00.000Z,2518,1,1357.0,,1158.0
65,2023-04-19T22:00:00.000Z,2522,2,1275.0,,1243.0
66,2023-04-20T22:00:00.000Z,2533,3,1211.0,,1318.0
67,2023-04-21T22:00:00.000Z,2542,2,1175.0,,1363.0
68,2023-04-22T22:00:00.000Z,2544,3,1139.0,,1401.0
69,2023-04-23T22:00:00.000Z,2553,1,1046.0,,1502.0
70,2023-04-24T22:00:00.000Z,2568,1,984.0,,1580.0
71,2023-04-25T22:00:00.000Z,2576,1,878.0,,1693.0
72,2023-04-26T22:00:00.000Z,2585,2,795.0,,1785.0
73,2023-04-27T22:00:00.000Z,2601,2,756.0,,1840.0
